model,accuracy,macro_f1,balanced_accuracy,best_epoch,best_val_macro_f1,n_test,top5_accuracy,accuracy_ci_lo,accuracy_ci_hi,macro_f1_ci_lo,macro_f1_ci_hi
ensemble_top3_uniform,0.785214,0.779899,0.780327,,,3138,0.968451,0.769280,0.799243,0.763056,0.792109
ensemble_top3_weighted,0.783301,0.778142,0.778418,,,3138,0.966539,0.767686,0.797331,0.761520,0.790361
efficientnet_v2_s_seed42_abl54,0.778643,0.773790,0.775207,35,0.743098,,,0.764362,0.792608,0.757695,0.786026
efficientnet_v2_s_seed42,0.762269,0.758168,0.759547,35,0.741359,,,0.746327,0.777247,0.739858,0.770400
dinov2_vitb14_linear_seed42,0.746654,0.737423,0.741491,13,0.738359,,,0.731350,0.760994,0.720488,0.750932
convnext_small_seed42,0.741874,0.738355,0.738836,30,0.666221,,,0.725295,0.756222,0.720612,0.750741
efficientnet_b3_seed42,0.741236,0.735619,0.737901,35,0.704632,,,0.725621,0.756851,0.717810,0.748717
efficientnet_b2_seed42,0.716061,0.709611,0.713879,30,0.620879,,,0.699163,0.731995,0.691816,0.723257
resnet50_seed42,0.710325,0.703893,0.706199,30,0.545954,,,0.693754,0.725948,0.685521,0.717095
vit_b16_seed42,0.708413,0.703373,0.706202,30,0.638845,,,0.690878,0.724347,0.685163,0.716325
efficientnet_b0_seed42,0.700446,0.694674,0.697536,30,0.543712,,,0.684512,0.715750,0.676030,0.708034
swin_v2_t_seed42,0.450287,0.421447,0.425623,24,0.448841,,,0.432433,0.466874,0.404467,0.433990
